Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score,Year,Mark_Sec
6826,1:45.81,,Thomas CHAMNEY,16 APR 1984,IRL,1,,Lignano Sabbiadoro (ITA),2009-07-12,1149,2009,105.81
6826,1:45.81,,Adam KSZCZOT,02 SEP 1989,POL,1,,"S. Darius & S. Girėnas Stadium, Kaunas (LTU)",2009-07-18,1149,2009,105.81
6826,1:45.81,,Belal Mansoor ALI,17 OCT 1988,BRN,1,,Liège (BEL),2010-07-13,1149,2010,105.81
6826,1:45.81,,Richard KIPLAGAT,03 MAY 1984,KEN,8,,"Stade de France, Paris-St-Denis (FRA)",2010-07-16,1149,2010,105.81
6826,1:45.81,,Mor SECK,24 SEP 1985,SEN,1,,Lignano Sabbiadoro (ITA),2010-07-18,1149,2010,105.81
6826,1:45.81,,Bram SOM,20 FEB 1980,NED,8,,"Boudewijnstadion, Bruxelles (BEL)",2011-09-16,1149,2011,105.81
6826,1:45.81,,Andreas BUBE,13 JUL 1987,DEN,7,,"Stadio Olimpico, Roma (ITA)",2012-05-31,1149,2012,105.81
6826,1:45.81,,Joshua RALPH,27 OCT 1991,AUS,2,,"Albert Park, Melbourne (AUS)",2014-03-22,1149,2014,105.81
6826,1:45.81,,Jeffrey RISELEY,11 NOV 1986,AUS,1,,Padova (ITA),2014-07-06,1149,2014,105.81
6826,1:45.81,,Sammy KIRONGO,04 FEB 1994,KEN,2,,Padova (ITA),2014-07-06,1149,2014,105.81
6826,1:45.81,,Rafith RODRÍGUEZ,01 JUN 1989,COL,1,,"Mangueirão, Belém (BRA)",2014-08-10,1149,2014,105.81
6826,1:45.81,,Abraham Kipchirchir ROTICH,26 SEP 1993,BRN,2,,"National Stadium, Beijing (CHN)",2015-05-20,1149,2015,105.81
6826,1:45.81,,Bernard KIPYEGON,19 DEC 1990,KEN,3,,Sotteville-lès-Rouen (FRA),2015-07-06,1149,2015,105.81
6826,1:45.81,,Abraham Kipchirchir ROTICH,26 SEP 1993,BRN,1f2,,Liège (BEL),2015-07-15,1149,2015,105.81
6826,1:45.81,,Jakub HOLUŠA,20 FEB 1988,CZE,1f1,,Tábor (CZE),2015-07-28,1149,2015,105.81
6826,1:45.81,,Mohammed AMAN,10 JAN 1994,ETH,2h6,,"Olympic Stadium, London (GBR)",2017-08-05,1149,2017,105.81
6826,1:45.81,,Kyle LANGFORD,02 FEB 1996,GBR,2sf2,,"Olympic Stadium, London (GBR)",2017-08-06,1149,2017,105.81
6826,1:45.81,,Alex AMANKWA,02 MAR 1992,GHA,2f1,,"Baton Rouge, LA (USA)",2018-04-28,1149,2018,105.81
6826,1:45.81,,Jonathan KITILIT,06 JUL 1995,KEN,5,,Rovereto (ITA),2019-08-27,1149,2019,105.81
6826,1:45.81,,Collins KIPRUTO,12 APR 1994,KEN,1h2,,"Nyayo National Stadium, Nairobi (KEN)",2019-09-12,1149,2019,105.81
6826,1:45.81,,Michael SARUNI,18 JUN 1995,KEN,1,,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",2021-06-19,1149,2021,105.81
6826,1:45.81,,Oussama NABIL,18 FEB 1996,MAR,1h2,,"Stadion Radés, Radés (TUN)",2021-06-19,1149,2021,105.81
6826,1:45.81,,Emmanuel WANYONYI,01 AUG 2004,KEN,2,,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",2021-07-03,1149,2021,105.81
6826,1:45.81,,Marc REUTHER,23 JUN 1996,GER,1,,"Bezirkssportanlage Hahnstraße, Frankfurt (GER)",2021-07-28,1149,2021,105.81
6826,1:45.81,,Elias NGENY,04 MAY 1996,KEN,7,,"Sports Park Mladost, Zagreb (CRO)",2021-09-14,1149,2021,105.81
6826,1:45.81,,Tolesa BODENA,18 FEB 2000,ETH,5h6,,"Hayward Field, Eugene, OR (USA)",2022-07-20,1149,2022,105.81
6826,1:45.81,,Collins KIPRUTO,12 APR 1994,KEN,8,,"Paavo Nurmen Stadion, Turku (FIN)",2023-06-13,1149,2023,105.81
6826,1:45.81,,Oussama NABIL,18 FEB 1996,MAR,5f1,,"Stade d'Athlétisme Hautepierre, Strasbourg (FRA)",2023-06-16,1149,2023,105.81
6826,1:45.81,,Peter BOL,22 FEB 1994,AUS,4,,"Stade Raymond Petit, Tomblaine (FRA)",2023-06-18,1149,2023,105.81
6826,1:45.81,,Mariano GARCÍA,25 SEP 1997,ESP,1h5,,"Glasgow Arena, Glasgow (GBR) (i)",2024-03-01,1206,2024,105.81
6826,1:45.81,,Ebrahim ALZOFAIRI,08 MAY 1989,KUW,3f1,,"Atletiekbaan Brakkenstein, Nijmegen (NED)",2024-05-18,1149,2024,105.81
6826,1:45.81,,Corentin LE CLEZIO,24 SEP 1999,FRA,9,,"Stade Delort, Marseille (FRA)",2024-05-22,1149,2024,105.81
6826,1:45.81,,Laban CHEPKWONY,14 APR 1996,KEN,4,,"Nyayo National Stadium, Nairobi (KEN)",2024-05-22,1149,2024,105.81
6826,1:45.81,,Brannon KIDDER,18 NOV 1993,USA,4sf3,,"Hayward Field, Eugene, OR (USA)",2024-06-28,1149,2024,105.81
6897,1:45.82,,Willi WÜLBECK,18 DEC 1954,FRG,3,,Köln (GER),1976-09-01,1149,1976,105.82
6897,1:45.82,,James ROBINSON,27 AUG 1954,USA,1,,"Walnut, CA (USA)",1979-06-17,1149,1979,105.82
6897,1:45.82,,Randy WILSON,07 SEP 1955,USA,3,,"Eugene, OR (USA)",1980-06-23,1149,1980,105.82
6897,1:45.82,,Randy WILSON,07 SEP 1955,USA,3,,"Sacramento, CA (USA)",1981-06-21,1149,1981,105.82
6897,1:45.82,,Faouzi LAHBI,02 MAR 1958,MAR,2,,Köln (GER),1983-08-28,1149,1983,105.82
6897,1:45.82,,Andreas HAUCK,19 JUN 1960,GDR,2h2,,Erfurt (GER),1984-06-01,1149,1984,105.82
6897,1:45.82,,Johnny GRAY,19 JUN 1960,USA,3qf3,,"Memorial Coliseum, Los Angeles, CA (USA)",1984-08-04,1149,1984,105.82
6897,1:45.82,,Johnny GRAY,19 JUN 1960,USA,3sf2,,"Memorial Coliseum, Los Angeles, CA (USA)",1984-08-05,1149,1984,105.82
6897,1:45.82,,Viktor KALINKIN,23 FEB 1960,URS,3,,Moskva (URS),1984-08-18,1149,1984,105.82
6897,1:45.82,,Jeff WEST,02 DEC 1961,USA,4,,"Westwood, CA (USA)",1985-05-18,1149,1985,105.82
6897,1:45.82,,Tom MCKEAN,27 OCT 1963,GBR,1,,Nice (FRA),1988-07-10,1149,1988,105.82
6897,1:45.82,,Johnny GRAY,19 JUN 1960,USA,2,,Edinburgh (GBR),1989-07-07,1149,1989,105.82
6897,1:45.82,,Steve HEARD,29 APR 1962,GBR,5,,Birmingham (GBR),1990-08-04,1149,1990,105.82
6897,1:45.82,,David SHARPE,08 JUL 1967,GBR,3sf1,,"Poljud Stadion, Split (CRO)",1990-08-28,1149,1990,105.82
6897,1:45.82,,George KERSH,03 JUL 1968,USA,1,,"Eugene, OR (USA)",1991-05-31,1149,1991,105.82
6897,1:45.82,,Frédéric CORNETTE,29 JUN 1967,FRA,5,,Nice (FRA),1992-07-15,1149,1992,105.82
6897,1:45.82,,Stanley REDWINE,10 APR 1961,USA,3f2,,Zürich (SUI),1993-08-04,1149,1993,105.82
6897,1:45.82,,José Manuel CEREZO,23 JUN 1973,ESP,6f1,,"Stadio Olimpico, Roma (ITA)",1995-06-08,1149,1995,105.82
6897,1:45.82,,Andrey LOGINOV,27 NOV 1972,RUS,4,,"Crystal Palace, London (GBR)",1995-07-07,1149,1995,105.82
6897,1:45.82,,Laban ROTICH,20 JAN 1969,KEN,1,,Cardiff (GBR),1996-05-25,1149,1996,105.82
6897,1:45.82,,Alexander ADAM,10 MAY 1968,GER,6,,Nürnberg (GER),1996-06-07,1149,1996,105.82
6897,1:45.82,,Nico MOTCHEBON,13 NOV 1969,GER,2h2,,"Olympic Stadium, Atlanta, GA (USA)",1996-07-28,1149,1996,105.82
6897,1:45.82,,Patrick KONCHELLAH,20 APR 1968,KEN,1f2,,"Stadio Olimpico, Roma (ITA)",1997-06-05,1149,1997,105.82
6897,1:45.82,,Kennedy OSEI,21 OCT 1966,GHA,5,,Bratislava (SVK),1997-06-10,1149,1997,105.82
6897,1:45.82,,Peter Kipkorir BIWOTT,22 AUG 1976,KEN,1,,Caorle (ITA),1997-06-28,1149,1997,105.82
6897,1:45.82,,Patrick NDURURI,12 JAN 1969,KEN,3,,Melbourne (AUS),1998-02-25,1149,1998,105.82
6897,1:45.82,,Hendrick MOKGANYETSI,07 SEP 1975,RSA,4,,Melbourne (AUS),1998-02-25,1149,1998,105.82
6897,1:45.82,,Japheth KIMUTAI,20 DEC 1978,KEN,1,,Dakar (SEN),1998-08-22,1149,1998,105.82
6897,1:45.82,,Jason LOBO,18 SEP 1969,GBR,7,,"Crystal Palace, London (GBR)",1999-08-07,1149,1999,105.82
6897,1:45.82,,William YIAMPOY,17 MAY 1974,KEN,2,,Villeneuve d'Ascq (FRA),2000-06-17,1149,2000,105.82
6897,1:45.82,,Wilfred BUNGEI,24 JUL 1980,KEN,2,,Stellenbosch (RSA),2001-03-30,1149,2001,105.82
6897,1:45.82,,Paweł CZAPIEWSKI,30 MAR 1978,POL,2,,Bydgoszcz (POL),2001-06-15,1149,2001,105.82
6897,1:45.82,,Hezekiel SEPENG,30 JUN 1974,RSA,7,,"Stade de France, Paris-St-Denis (FRA)",2001-07-06,1149,2001,105.82
6897,1:45.82,,David KRUMMENACKER,24 MAY 1975,USA,2,,Madrid (ESP),2001-07-07,1149,2001,105.82
6897,1:45.82,,Boris KAVESHNIKOV,30 SEP 1974,RUS,1,,Tula (RUS),2001-07-15,1149,2001,105.82
6897,1:45.82,,David LELEI,10 MAY 1971,KEN,1,,Heusden-Zolder (BEL),2002-07-20,1149,2002,105.82
6897,1:45.82,,Kris MCCARTHY,15 OCT 1979,AUS,7f2,,Zürich (SUI),2002-08-16,1149,2002,105.82
6897,1:45.82,,Bernard KISILU,06 DEC 1974,KEN,1,,Lappeenranta (FIN),2002-08-18,1149,2002,105.82
6897,1:45.82,,Amine LAALOU,13 MAY 1982,MAR,8,,"Olympic Stadium, Athina (GRE)",2005-06-14,1149,2005,105.82
6897,1:45.82,,Mouhssin CHEHIBI,28 JAN 1978,MAR,5sf3,,"Olympiastadion, Helsinki (FIN)",2005-08-12,1149,2005,105.82
6897,1:45.82,,Yuriy BORZAKOVSKIY,12 APR 1981,RUS,1,,Karlsruhe (GER) (i),2006-01-29,1206,2006,105.82
6897,1:45.82,,René HERMS,17 JUL 1982,GER,1,,Regensburg (GER),2006-06-17,1149,2006,105.82
6897,1:45.82,,Yuriy BORZAKOVSKIY,12 APR 1981,RUS,1,,Nürnberg (GER),2006-07-30,1149,2006,105.82
6897,1:45.82,,David RUDISHA,17 DEC 1988,KEN,1f1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",2007-07-10,1149,2007,105.82
6897,1:45.82,,Duane SOLOMON,28 DEC 1984,USA,2sf2,,"Eugene, OR (USA)",2008-06-28,1149,2008,105.82
6897,1:45.82,,René HERMS,17 JUL 1982,GER,4f1,,Biberach (GER),2008-06-28,1149,2008,105.82
6897,1:45.82,,Ismael Kipngetich KOMBICH,16 JAN 1985,KEN,4f1,,Heusden-Zolder (BEL),2008-07-20,1149,2008,105.82
6897,1:45.82,,Kléberson DAVIDE,20 JUL 1985,BRA,2,,San Fernando (ESP),2010-06-06,1149,2010,105.82
6897,1:45.82,,Jackson Mumbwa KIVUVA,11 AUG 1989,KEN,4,,"Hayward Field, Eugene, OR (USA)",2011-06-04,1149,2011,105.82
6897,1:45.82,,Tyler MULDER,15 FEB 1987,USA,2sf1,,"Hayward Field, Eugene, OR (USA)",2011-06-24,1149,2011,105.82
6897,1:45.82,,Erik SOWINSKI,21 DEC 1989,USA,3,,"National Stadium, Beijing (CHN)",2015-05-20,1149,2015,105.82
6897,1:45.82,,Erik SOWINSKI,21 DEC 1989,USA,8,,"Olympic Stadium, London (GBR)",2015-07-25,1149,2015,105.82
6897,1:45.82,,Erik SOWINSKI,21 DEC 1989,USA,2sf1,,"Hayward Field, Eugene, OR (USA)",2016-07-02,1149,2016,105.82
6897,1:45.82,,Edwin Kiplagat MELLY,23 APR 1994,KEN,5f2,,Rovereto (ITA),2016-09-06,1149,2016,105.82
6897,1:45.82,,Michael SARUNI,18 JUN 1995,KEN,1f1,,"Austin, TX (USA)",2017-03-30,1149,2017,105.82
6897,1:45.82,,Jesse GARN,04 JUN 1993,USA,5f2,,"Marietta, GA (USA)",2017-05-19,1149,2017,105.82
6897,1:45.82,,Jake WIGHTMAN,11 JUL 1994,GBR,1f1,,Göteborg (SWE),2017-06-10,1149,2017,105.82
6897,1:45.82,,Willy Kiplimo TARBEI,30 MAY 1998,KEN,1,,"Stade Raymond Petit, Tomblaine (FRA)",2017-06-28,1149,2017,105.82
6897,1:45.82,,Isaiah HARRIS,18 OCT 1996,USA,2h3,,"Olympic Stadium, London (GBR)",2017-08-05,1149,2017,105.82
6897,1:45.82,,Jake WIGHTMAN,11 JUL 1994,GBR,4,,Gold Coast (AUS),2018-04-12,1149,2018,105.82
6897,1:45.82,,Peter BOL,22 FEB 1994,AUS,10,,"Stade Charléty, Paris (FRA)",2018-06-30,1149,2018,105.82
6897,1:45.82,,Nicholas Kiplangat KIPKOECH,22 OCT 1992,KEN,2,,Bellinzona (SUI),2018-07-18,1149,2018,105.82
6897,1:45.82,,Taoufik MAKHLOUFI,29 APR 1988,ALG,2f1,,Schifflange (LUX),2019-08-18,1149,2019,105.82
6897,1:45.82,,Álvaro DE ARRIBA,02 JUN 1994,ESP,2f1,,"Sollentunavallen, Sollentuna (SWE)",2021-06-13,1149,2021,105.82
6897,1:45.82,,Álvaro DE ARRIBA,02 JUN 1994,ESP,3,,"Utilita Arena Birmingham, Birmingham (GBR) (i)",2022-02-19,1206,2022,105.82
6897,1:45.82,,Mariano GARCÍA,25 SEP 1997,ESP,2,,"Gallur, Madrid (ESP) (i)",2022-03-02,1206,2022,105.82
6897,1:45.82,,Álvaro DE ARRIBA,02 JUN 1994,ESP,1,,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",2022-06-26,1149,2022,105.82
6897,1:45.82,,Leandro ALVES,04 AUG 1998,BRA,2f3,,"CNDA, Bragança Paulista (BRA)",2023-04-01,1149,2023,105.82
6897,1:45.82,,Yusuf BIZIMANA,06 SEP 2000,GBR,1,,"John Jacobs Track Complex, Norman, OK (USA)",2023-05-14,1149,2023,105.82
6897,1:45.82,,Mateusz BORKOWSKI,02 APR 1997,POL,3,,"Stadio Zecchini, Grosseto (ITA)",2023-05-27,1149,2023,105.82
6897,1:45.82,,Guilherme ORENHAS,10 SEP 1998,BRA,2f1,,"Estadio de Larrabide, Pamplona (ESP)",2023-06-02,1149,2023,105.82
6897,1:45.82,,Pieter SISK,08 DEC 1999,BEL,5f1,,"Stedelijke Atletiekpiste, Ninove (BEL)",2023-07-22,1149,2023,105.82
6897,1:45.82,,Alex AMANKWA,02 MAR 1992,GHA,6,,"Jack Kemp Stadium, Los Angeles, CA (USA)",2024-05-11,1149,2024,105.82
6897,1:45.82,,Leonardo SANTOS,27 JAN 2002,BRA,2,,"Pista de Atletismo da Universidade Federal do Mato Grosso, Cuiaba (BRA)",2024-05-15,1149,2024,105.82
6897,1:45.82,,Ko OCHIAI,17 AUG 2006,JPN,1h1,,"Denka Big Swan Stadium, Niigata (JPN)",2024-06-29,1149,2024,105.82
6972,1:45.83,,Walter ADAMS,15 MAR 1945,FRG,4,,"Estadio Olímpico, Ciudad de México (MEX)",1968-10-15,1148,1968,105.83
6972,1:45.83,,Detlef WAGENKNECHT,03 JAN 1959,GDR,2,,London (GBR),1983-08-21,1148,1983,105.83
6972,1:45.83,,Matthias ASSMANN,02 FEB 1957,FRG,1,,Athina (GRE),1984-07-11,1148,1984,105.83
6972,1:45.83,,Peter BRAUN,01 AUG 1962,FRG,6,,"Neckarstadion, Stuttgart (GER)",1986-08-28,1148,1986,105.83
6972,1:45.83,,Babacar NIANG,09 SEP 1958,SEN,3,,London (GBR),1987-09-13,1148,1987,105.83
6972,1:45.83,,John MARSHALL,05 NOV 1963,USA,6,,"Indianapolis, IN (USA)",1988-07-15,1148,1988,105.83
6972,1:45.83,,José Luis BARBOSA,27 MAY 1961,BRA,4f1,,Rieti (ITA),1990-09-09,1148,1990,105.83
6972,1:45.83,,Freddie WILLIAMS,24 FEB 1962,CAN,2h5,,"National Stadium, Tokyo (JPN)",1991-08-25,1148,1991,105.83
6972,1:45.83,,Peter BRAUN,01 AUG 1962,GER,7,,Köln (GER),1992-08-16,1148,1992,105.83
6972,1:45.83,,Vebjørn RODAL,16 SEP 1972,NOR,1,,Hengelo (NED),1993-06-20,1148,1993,105.83
6972,1:45.83,,Marko KOERS,03 NOV 1972,NED,4f1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",1995-07-05,1148,1995,105.83
6972,1:45.83,,Vebjørn RODAL,16 SEP 1972,NOR,2f1,,Bruxelles (BEL),1995-08-25,1148,1995,105.83
6972,1:45.83,,Norberto TÉLLEZ,23 DEC 1972,CUB,1,,Medellín (COL),1996-05-12,1148,1996,105.83
6972,1:45.83,,Lukáš VYDRA,23 AUG 1973,CZE,1,,Luzern (SUI),1998-07-02,1148,1998,105.83
6972,1:45.83,,Fred ONYANCHA,25 DEC 1969,KEN,7,,Nice (FRA),1998-07-16,1148,1998,105.83
6972,1:45.83,,Robert CHIRCHIR,26 NOV 1972,KEN,9,,Paris (FRA),1998-07-29,1148,1998,105.83
6972,1:45.83,,James MCILROY,30 DEC 1976,IRL,6,,Bruxelles (BEL),1998-08-28,1148,1998,105.83
6972,1:45.83,,Andrea LONGO,26 JUN 1975,ITA,9f1,,"Stadio Olimpico, Roma (ITA)",1999-07-07,1148,1999,105.83
6972,1:45.83,,Yuriy BORZAKOVSKIY,12 APR 1981,RUS,6,,"Olympic Stadium, Sydney (AUS)",2000-09-27,1148,2000,105.83
6972,1:45.83,,Werner BOTHA,31 JAN 1978,RSA,1,,Nijmegen (NED),2002-05-25,1148,2002,105.83
6972,1:45.83,,Joseph Mwengi MUTUA,10 DEC 1978,KEN,1sf2,,Nairobi (KEN),2002-06-20,1148,2002,105.83
6972,1:45.83,,Arnoud OKKEN,20 APR 1982,NED,4,,"FBK Stadium, Hengelo (NED)",2004-05-31,1148,2004,105.83
6972,1:45.83,,René HERMS,17 JUL 1982,GER,2h1,,"Olympic Stadium, Athina (GRE)",2004-08-25,1148,2004,105.83
6972,1:45.83,,Arthémon HATUNGIMANA,21 JAN 1974,BDI,7,,Rovereto (ITA),2004-09-08,1148,2004,105.83
6972,1:45.83,,Amine LAALOU,13 MAY 1982,MAR,8f1,,Zürich (SUI),2005-08-19,1148,2005,105.83
6972,1:45.83,,Nick SYMMONDS,30 DEC 1983,USA,2,,"Indianapolis, IN (USA)",2006-06-25,1148,2006,105.83
6972,1:45.83,,Alfred Kirwa YEGO,28 NOV 1986,KEN,7,,"Boudewijnstadion, Bruxelles (BEL)",2007-09-14,1148,2007,105.83
6972,1:45.83,,Abraham KIPLAGAT,09 AUG 1984,KEN,4,,Nairobi (KEN),2010-06-26,1148,2010,105.83
6972,1:45.83,,Russell BROWN,06 MAR 1985,USA,4f1,,"Los Angeles, CA (USA)",2011-05-21,1148,2011,105.83
6972,1:45.83,,Job KINYOR,08 MAY 1990,KEN,3,,"Stade Raymond Petit, Tomblaine (FRA)",2011-06-24,1148,2011,105.83
6972,1:45.83,,Alfred Kirwa YEGO,28 NOV 1986,KEN,7,,"DS, Daegu (KOR)",2011-08-30,1148,2011,105.83
6972,1:45.83,,Duane SOLOMON,28 DEC 1984,USA,1,,"Los Angeles, CA (USA)",2012-04-14,1148,2012,105.83
6972,1:45.83,,Khadevis ROBINSON,19 JUL 1976,USA,1sf1,,"Hayward Field, Eugene, OR (USA)",2012-06-23,1148,2012,105.83
6972,1:45.83,,Moses Kipkemboi KIBET,20 NOV 1994,KEN,2f2,,Regensburg (GER),2013-06-08,1148,2013,105.83
6972,1:45.83,,Ali AL DARAAN,17 APR 1990,KSA,1f1,,"San Diego, CA (USA)",2015-03-28,1148,2015,105.83
6972,1:45.83,,Mark ENGLISH,18 MAR 1993,IRL,5,,"FBK Stadium, Hengelo (NED)",2015-05-24,1148,2015,105.83
6972,1:45.83,,Nader BELHANBEL,01 JUL 1994,MAR,1f1,,Bilbao (ESP),2015-06-20,1148,2015,105.83
6972,1:45.83,,Ferguson Cheruiyot ROTICH,30 NOV 1989,KEN,1h4,,"National Stadium, Beijing (CHN)",2015-08-22,1148,2015,105.83
6972,1:45.83,,Mohammed AMAN,10 JAN 1994,ETH,3,,"Letzigrund, Zürich (SUI)",2015-09-03,1148,2015,105.83
6972,1:45.83,,Boris BERIAN,19 DEC 1992,USA,1,,"Oregon Convention Center, Portland, OR (USA) (i)",2016-03-19,1206,2016,105.83
6972,1:45.83,,Abraham Kipchirchir ROTICH,26 SEP 1993,BRN,2f1,,Heusden-Zolder (BEL),2016-07-16,1148,2016,105.83
6972,1:45.83,,Adam KSZCZOT,02 SEP 1989,POL,1h2,,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-12,1148,2016,105.83
6972,1:45.83,,Drew PIAZZA,28 JAN 1995,USA,4sf1,,"Sacramento, CA (USA)",2017-06-23,1148,2017,105.83
6972,1:45.83,,Thiago ANDRÉ,04 AUG 1995,BRA,4sf3,,"Olympic Stadium, London (GBR)",2017-08-06,1148,2017,105.83
6972,1:45.83,,Nijel AMOS,15 MAR 1994,BOT,5,,"Olympic Stadium, London (GBR)",2017-08-08,1148,2017,105.83
6972,1:45.83,,Luke MATHEWS,21 JUN 1995,AUS,1f1,,Canberra (AUS),2018-01-27,1148,2018,105.83
6972,1:45.83,,Drew PIAZZA,28 JAN 1995,USA,3f1,,"Nashville, TN (USA)",2018-06-02,1148,2018,105.83
6972,1:45.83,,Daniel ROWDEN,09 SEP 1997,GBR,2f1,,Oordegem (BEL),2018-06-02,1148,2018,105.83
6972,1:45.83,,Takieddine HEDEILLI,06 JUN 1996,ALG,11f1,,"Stadion Śląski, Chorzów (POL)",2021-06-20,1148,2021,105.83
6972,1:45.83,,Gabriel TUAL,09 APR 1998,FRA,4,,"Stade Raymond Petit, Tomblaine (FRA)",2021-07-05,1148,2021,105.83
6972,1:45.83,,Sho KAWAMOTO,01 MAR 1993,JPN,2,,"Aoba Park Athletic Field, Chitose (JPN)",2021-07-17,1148,2021,105.83
6972,1:45.83,,Thomas RANDOLPH,07 FEB 1999,GBR,8,,"Sports Park Mladost, Zagreb (CRO)",2021-09-14,1148,2021,105.83
6972,1:45.83,,Jonathan JONES,06 FEB 1999,BAR,1f2,,"Mike A. Myers Stadium, Austin, TX (USA)",2022-03-24,1148,2022,105.83
6972,1:45.83,,Nicholas Kiplangat KEBENEI,07 JUN 1995,KEN,2f1,,"Sollentunavallen, Sollentuna (SWE)",2022-06-12,1148,2022,105.83
6972,1:45.83,,Clayton MURPHY,26 FEB 1995,USA,10,,"Stade Louis II, Monaco (MON)",2023-07-21,1148,2023,105.83
6972,1:45.83,,Sean DOLAN,19 MAR 2001,USA,1,,"Villanova University, Villanova, PA (USA)",2024-05-11,1148,2024,105.83
7028,1:45.84,,Wilson KIPRUGUT,1938,KEN,2sf2,,"Estadio Olímpico, Ciudad de México (MEX)",1968-10-14,1148,1968,105.84
7028,1:45.84,,Milovan SAVIĆ,16 JUN 1953,YUG,2,,Rieti (ITA),1976-08-29,1148,1976,105.84
7028,1:45.84,,Detlef WAGENKNECHT,03 JAN 1959,GDR,1,,Leipzig (GER),1978-07-02,1148,1978,105.84
7028,1:45.84,,Garry COOK,10 JAN 1958,GBR,4,,Frankfurt (GER),1978-09-05,1148,1978,105.84
7028,1:45.84,,Dragan ŽIVOTIĆ,03 MAR 1955,YUG,6f2,,Zürich (SUI),1979-08-15,1148,1979,105.84
7028,1:45.84,,Sebastian COE,29 SEP 1956,GBR,1h1,,London (GBR),1981-08-07,1148,1981,105.84
7028,1:45.84,,David MACK,30 MAY 1961,USA,1h6,,"Olympiastadion, Helsinki (FIN)",1983-08-07,1148,1983,105.84
7028,1:45.84,,Peter ELLIOTT,09 OCT 1962,GBR,3,,London (GBR),1983-08-21,1148,1983,105.84
7028,1:45.84,,Detlef WAGENKNECHT,03 JAN 1959,GDR,4,,"Bruce Stadium, Canberra (AUS)",1985-10-04,1148,1985,105.84
7028,1:45.84,,Steve HEARD,29 APR 1962,GBR,6,,Helsinki (FIN),1989-06-29,1148,1989,105.84
7028,1:45.84,,Nixon KIPROTICH,04 DEC 1962,KEN,3,,Edinburgh (GBR),1989-07-07,1148,1989,105.84
7028,1:45.84,,Gennaro DI NAPOLI,05 MAR 1968,ITA,1,,Formia (ITA),1990-07-07,1148,1990,105.84
7028,1:45.84,,Tomás de TERESA,05 SEP 1968,ESP,3sf2,,"National Stadium, Tokyo (JPN)",1991-08-26,1148,1991,105.84
7028,1:45.84,,Stephen Ole MARAI,11 NOV 1962,KEN,1,,Cottbus (GER),1993-06-23,1148,1993,105.84
7028,1:45.84,,Nico MOTCHEBON,13 NOV 1969,GER,7f1,,Köln (GER),1994-08-21,1148,1994,105.84
7028,1:45.84,,David KIPTOO SINGOEI,25 JUN 1965,KEN,2,,"Atlanta, GA (USA)",1996-05-18,1148,1996,105.84
7028,1:45.84,,El-Mahjoub HAIDA,01 JUL 1970,MAR,1,,Lisboa (POR),1996-06-21,1148,1996,105.84
7028,1:45.84,,Nico MOTCHEBON,13 NOV 1969,GER,4,,"Eugene, OR (USA)",1997-05-25,1148,1997,105.84
7028,1:45.84,,William YIAMPOY,17 MAY 1974,KEN,sf,,Nairobi (KEN),2000-07-21,1148,2000,105.84
7028,1:45.84,,Nicholas WACHIRA,19 NOV 1982,KEN,3,,Formia (ITA),2001-07-14,1148,2001,105.84
7028,1:45.84,,Dmitriy BOGDANOV,11 APR 1979,RUS,4,,"Ferry-Dusika-Halle, Wien (AUT) (i)",2002-03-03,1205,2002,105.84
7028,1:45.84,,Japheth KIMUTAI,20 DEC 1978,KEN,1sf1,,Nairobi (KEN),2002-06-20,1148,2002,105.84
7028,1:45.84,,David KRUMMENACKER,24 MAY 1975,USA,4h2,,"Stade de France, Paris-St-Denis (FRA)",2003-08-28,1148,2003,105.84
7028,1:45.84,,Dmitrijs MIĻKEVIČS,06 DEC 1981,LAT,3f1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",2005-07-05,1148,2005,105.84
7028,1:45.84,,Achraf TADILI,08 JUL 1980,CAN,2,,Lappeenranta (FIN),2006-07-13,1148,2006,105.84
7028,1:45.84,,Nabil MADI,09 JUN 1981,ALG,1,,Algiers (ALG),2006-07-18,1148,2006,105.84
7028,1:45.84,,Jonathan JOHNSON,05 MAR 1982,USA,1,,Salamanca (ESP),2007-07-04,1148,2007,105.84
7028,1:45.84,,Achraf TADILI,08 JUL 1980,CAN,2,,Windsor (CAN),2007-07-15,1148,2007,105.84
7028,1:45.84,,Marcin LEWANDOWSKI,13 JUN 1987,POL,6f1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",2008-09-02,1148,2008,105.84
7028,1:45.84,,Mouhcine EL AMINE,18 JAN 1982,MAR,4,,"Stade Raymond Petit, Tomblaine (FRA)",2011-06-24,1148,2011,105.84
7028,1:45.84,,Mahfoud BRAHIMI,24 FEB 1985,ALG,1,,Bottrop (GER),2011-07-15,1148,2011,105.84
7028,1:45.84,,Mohammed AMAN,10 JAN 1994,ETH,1f1,,Stockholm (SWE) (i),2012-02-23,1205,2012,105.84
