Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score,Year,Mark_Sec
11119,2:01.56,,Noélie YARIGO,26 DEC 1985,BEN,1,,Dessau (GER),2018-06-08,1134,2018,121.56
11119,2:01.56,,Christina HERING,09 OCT 1994,GER,1,,Nürnberg (GER),2018-07-22,1134,2018,121.56
11119,2:01.56,,Rénelle LAMOTE,26 DEC 1993,FRA,9,,"Stadion Śląski, Chorzów (POL)",2020-08-25,1134,2020,121.56
11119,2:01.56,,Adelle TRACEY,27 MAY 1993,GBR,4,,"St. Michael's HS, Austin, TX (USA)",2021-02-27,1134,2021,121.56
11119,2:01.56,,Charlotte PIZZO,10 MAY 1997,FRA,6,,"Stade des Grands Pêchers, Montreuil (FRA)",2021-06-01,1134,2021,121.56
11119,2:01.56,,Bianka BARTHA-KÉRI,19 APR 1994,HUN,1,,"Stadion Juliska, Praha (CZE)",2021-06-07,1134,2021,121.56
11119,2:01.56,,Abigail IVES,06 FEB 2004,GBR,2f1,,"Loughborough University Track, Loughborough (GBR)",2022-08-27,1134,2022,121.56
11119,2:01.56,,Brenna DETRA,13 AUG 1995,USA,2,,"Lantos Mihály Sportközpont, Budapest (HUN)",2022-09-02,1134,2022,121.56
11119,2:01.56,,Alexandra BELL,04 NOV 1992,GBR,1,,"Longford Stadium Trafford, Manchester (GBR)",2023-06-13,1134,2023,121.56
11119,2:01.56,,Natalіia KROL,11 SEP 1994,UKR,3,,"Olympiastadion, Stockholm (SWE)",2023-07-02,1134,2023,121.56
11119,2:01.56,,Alexandra BELL,04 NOV 1992,GBR,9,,"Suhaim bin Hamad Stadium, Doha (QAT)",2024-05-10,1134,2024,121.56
11119,2:01.56,,Jenna BROMELL,15 JUN 1997,IRL,5,,"Mary Peters Track, Belfast (GBR)",2024-05-11,1134,2024,121.56
11119,2:01.56,,Patricia SILVA,09 DEC 1999,POR,3,,"Lantos Mihály Sportközpont, Budapest (HUN)",2024-05-26,1134,2024,121.56
11119,2:01.56,,Kendra COLEMAN,11 SEP 1990,USA,4,,"Edwin Moses Track Morehouse College, B.T. Harvey Stadium, Atlanta, GA (USA)",2024-05-31,1134,2024,121.56
11119,2:01.56,,Brenna DETRA,13 AUG 1995,USA,3f1,,"Dean A. Hayes Track and Soccer Stadium, Murfreesboro, TN (USA)",2024-06-01,1134,2024,121.56
11169,2:01.57,,Abby HOFFMANN,11 FEB 1947,CAN,2h3,,"Olympiastadion, München (GER)",1972-08-31,1134,1972,121.57
11169,2:01.57,,Katalin SZALAI,04 MAR 1961,HUN,3,,Tokyo (JPN),1984-09-14,1134,1984,121.57
11169,2:01.57,,Christine WACHTEL,06 JAN 1965,GDR,1,,"Bruce Stadium, Canberra (AUS)",1985-10-06,1134,1985,121.57
11169,2:01.57,,Fatima AOUAM,16 DEC 1959,MAR,5,,Lausanne (SUI),1986-09-02,1134,1986,121.57
11169,2:01.57,,Delisa WALTON-FLOYD,28 JUL 1961,USA,4,,Wattenscheid (GER),1990-07-06,1134,1990,121.57
11169,2:01.57,,Yelena STORCHOVAYA,23 JUN 1966,UKR,4sf1,,"The Sky Dome, Toronto (CAN) (i)",1993-03-13,1160,1993,121.57
11169,2:01.57,,Fabia TRABALDO,05 MAR 1972,ITA,5,,Oslo (NOR),1993-07-10,1134,1993,121.57
11169,2:01.57,,Ellen VAN LANGEN,09 FEB 1966,NED,1,,Kerkrade (NED),1996-05-17,1134,1996,121.57
11169,2:01.57,,Debbie MARSHALL-GRANT,05 AUG 1965,USA,5sf,,"Atlanta, GA (USA)",1996-06-15,1134,1996,121.57
11169,2:01.57,,Toni HODGKINSON,21 DEC 1971,NZL,1,,Hobart (AUS),1997-02-15,1134,1997,121.57
11169,2:01.57,,Lwisa MSYANI JOHN,18 MAY 1980,TAN,4,,Helsinki (FIN),1999-06-10,1134,1999,121.57
11169,2:01.57,,Gladys WAMUYU,23 DEC 1972,KEN,3,,Barcelona (ESP),2000-07-25,1134,2000,121.57
11169,2:01.57,,Natalya GORELOVA,18 APR 1973,RUS,1h2,,Moskva (RUS) (i),2001-02-16,1160,2001,121.57
11169,2:01.57,,Faith MACHARIA,09 FEB 1976,KEN,5,,Brisbane (AUS),2001-09-05,1134,2001,121.57
11169,2:01.57,,Kameisha BENNETT,13 JAN 1981,USA,4,,"Sacramento, CA (USA)",2004-07-12,1134,2004,121.57
11169,2:01.57,,Neisha BERNARD-THOMAS,21 JAN 1981,GRN,6,,"New York, NY (USA)",2005-06-11,1134,2005,121.57
11169,2:01.57,,Natalya LAVSHUK,22 FEB 1980,RUS,3,,Tula (RUS),2005-06-14,1134,2005,121.57
11169,2:01.57,,Rosibel GARCÍA,13 FEB 1981,COL,1,,Armenia (COL),2005-08-20,1134,2005,121.57
11169,2:01.57,,Hind DEHIBA CHAHYD,17 MAR 1979,FRA,2,,Castres (FRA),2006-08-01,1134,2006,121.57
11169,2:01.57,,Sandra TEIXEIRA,13 MAR 1978,POR,1,,Lisboa (POR),2007-07-29,1134,2007,121.57
11169,2:01.57,,Brigita LANGERHOLC,23 JUL 1976,SLO,5,,Moskva (RUS),2008-06-10,1134,2008,121.57
11169,2:01.57,,Yvonne HAK,30 JUN 1986,NED,12,,"Stadio Olimpico, Roma (ITA)",2010-06-10,1134,2010,121.57
11169,2:01.57,,Olha BIBIK,05 FEB 1990,UKR,3f1,,Donetsk (UKR),2010-07-03,1134,2010,121.57
11169,2:01.57,,Kenia SINCLAIR,14 JUL 1980,JAM,1,,Tanger (MAR),2010-07-18,1134,2010,121.57
11169,2:01.57,,LaTavia THOMAS,17 DEC 1988,USA,1f1,,Kessel-Lo (BEL),2011-08-13,1134,2011,121.57
11169,2:01.57,,Yekaterina ZAVYALOVA,01 MAR 1991,RUS,2f4,,Moskva (RUS) (i),2012-02-12,1160,2012,121.57
11169,2:01.57,,Tamsyn MANOU,20 JUL 1978,AUS,2f1,,Watford (GBR),2012-06-09,1134,2012,121.57
11169,2:01.57,,Tamsyn MANOU,20 JUL 1978,AUS,3f1,,Heusden-Zolder (BEL),2012-07-07,1134,2012,121.57
11169,2:01.57,,Kelly HETHERINGTON,10 MAR 1989,AUS,5h4,,"Luzhniki Stadion, Moskva (RUS)",2013-08-15,1134,2013,121.57
11169,2:01.57,,Kate GRACE,24 OCT 1988,USA,1f2,,"Los Angeles, CA (USA)",2014-05-15,1134,2014,121.57
11169,2:01.57,,Marilyn OKORO,23 SEP 1984,GBR,3,,"Icahn Stadium, New York, NY (USA)",2014-06-14,1134,2014,121.57
11169,2:01.57,,Ajee' WILSON,08 MAY 1994,USA,1,,"New York, NY (USA) (i)",2015-02-14,1160,2015,121.57
11169,2:01.57,,Simoya CAMPBELL-JOHNSON,01 MAR 1994,JAM,6,,"Olympiastadion, Stockholm (SWE)",2015-07-30,1134,2015,121.57
11169,2:01.57,,Hedda HYNNE,13 MAR 1990,NOR,2sf1,,"Olympisch Stadion, Amsterdam (NED)",2016-07-07,1134,2016,121.57
11169,2:01.57,,Selina BÜCHEL,26 JUL 1991,SUI,2,,"Messehalle, Karlsruhe (GER) (i)",2017-02-04,1160,2017,121.57
11169,2:01.57,,Anastasiya RYEMYEN,20 APR 1993,UKR,3,,Metz (FRA) (i),2017-02-12,1160,2017,121.57
11169,2:01.57,,Esther GUERRERO,07 FEB 1990,ESP,2f1,,Huelva (ESP),2017-06-14,1134,2017,121.57
11169,2:01.57,,Kseniya SAVINA,04 JUN 1989,RUS,2h5,,Zhukovskiy (RUS),2017-07-28,1134,2017,121.57
11169,2:01.57,,Christina HERING,09 OCT 1994,GER,3h4,,"Olympiastadion, Berlin (GER)",2018-08-07,1134,2018,121.57
11169,2:01.57,,Ce'Aira BROWN,04 NOV 1993,USA,2,,Bellinzona (SUI),2019-09-01,1134,2019,121.57
11169,2:01.57,,Laurie BARTON,13 FEB 1998,USA,1f1,,"UCF Soccer and Track Complex, Orlando, FL (USA)",2021-04-24,1134,2021,121.57
11169,2:01.57,,Sara KUIVISTO,17 AUG 1991,FIN,2,,"Paavo Nurmen Stadion, Turku (FIN)",2021-06-07,1134,2021,121.57
11169,2:01.57,,Lindsey BUTTERWORTH,27 SEP 1992,CAN,6f1,,"Christian Brothers HS, Memphis, TN (USA)",2021-08-15,1134,2021,121.57
11169,2:01.57,,Jenny SELMAN,09 MAR 1991,GBR,6,,"Utilita Arena Birmingham, Birmingham (GBR) (i)",2022-02-19,1160,2022,121.57
11169,2:01.57,,Christina HERING,09 OCT 1994,GER,1,,"Paul-Greifzu-Stadion, Dessau (GER)",2022-05-25,1134,2022,121.57
11169,2:01.57,,Adelle TRACEY,27 MAY 1993,GBR,1,,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",2022-06-03,1134,2022,121.57
11169,2:01.57,,Christina HERING,09 OCT 1994,GER,8sf1,,"Hayward Field, Eugene, OR (USA)",2022-07-22,1134,2022,121.57
11169,2:01.57,,Sintayehu VISSA,29 JUL 1996,ITA,1,,"Stadio G. Teghil, Lignano Sabbiadoro (ITA)",2022-07-30,1134,2022,121.57
11169,2:01.57,,Kristie SCHOFFIELD,05 APR 1999,USA,7,,"Icahn Stadium, New York, NY (USA)",2023-06-24,1134,2023,121.57
11169,2:01.57,,Eveliina MÄÄTTÄNEN,01 SEP 1995,FIN,5,,"Arena, Toruń (POL) (i)",2024-02-06,1160,2024,121.57
11169,2:01.57,,Juliette WHITTAKER,01 DEC 2003,USA,2f2,,"Cougar Athletic Stadium, Azusa, CA (USA)",2024-04-12,1134,2024,121.57
11169,2:01.57,,Allie WILSON,31 MAR 1996,USA,1h2,,"Hayward Field, Eugene, OR (USA)",2024-06-21,1134,2024,121.57
11221,2:01.58,,Brigitte KRAUS,12 AUG 1956,FRG,3,,Zürich (SUI),1976-08-18,1134,1976,121.58
11221,2:01.58,,Antje SCHRÖDER,02 SEP 1963,GDR,1h1,,Karl Marx Stadt (GDR),1983-06-16,1134,1983,121.58
11221,2:01.58,,Antje SCHRÖDER,02 SEP 1963,GDR,3,,Dresden (GER),1987-08-15,1134,1987,121.58
11221,2:01.58,,Essie WASHINGTON,12 JAN 1957,USA,1,,"Walnut, CA (USA)",1989-04-22,1134,1989,121.58
11221,2:01.58,,Kerrie BAUMGARTNER,12 OCT 1967,AUS,8,,"Estadio Olímpico, Barcelona (ESP)",1989-09-09,1134,1989,121.58
11221,2:01.58,,Stella JONGMANS,17 MAY 1971,NED,3,,Stockholm (SWE),1993-07-05,1134,1993,121.58
11221,2:01.58,,Charmaine CROOKS,08 AUG 1962,CAN,1,,Montréal (CAN),1996-06-22,1134,1996,121.58
11221,2:01.58,,Katrien MAENHOUT,08 FEB 1969,BEL,9,,Bruxelles (BEL),1997-08-22,1134,1997,121.58
11221,2:01.58,,Patricia DJATÉ-TAILLARD,03 JAN 1971,FRA,2,,Arnhem (NED),1998-07-18,1134,1998,121.58
11221,2:01.58,,Jearl MILES-CLARK,04 SEP 1966,USA,4,,"SGJ, Johannesburg (RSA)",1998-09-12,1134,1998,121.58
11221,2:01.58,,Natalya GORELOVA,18 APR 1973,RUS,1,,Sochi (RUS),1999-09-18,1134,1999,121.58
11221,2:01.58,,Natalya TSYGANOVA,07 FEB 1971,RUS,1h1,,"Topsporthal Vlaanderen, Gent (BEL) (i)",2000-02-25,1160,2000,121.58
11221,2:01.58,,Hazel CLARK,03 OCT 1977,USA,sf,,"Sacramento, CA (USA)",2000-07-21,1134,2000,121.58
11221,2:01.58,,Heike MEISSNER,29 JAN 1970,GER,2,,Stuttgart (GER) (i),2001-02-04,1160,2001,121.58
11221,2:01.58,,Galina MISIRUK,18 DEC 1970,UKR,1,,Brasschaat (BEL),2001-08-15,1134,2001,121.58
11221,2:01.58,,Svetlana KLYUKA,27 DEC 1978,RUS,6,,Moskva (RUS),2002-06-29,1134,2002,121.58
11221,2:01.58,,Nicole TETER,08 NOV 1973,USA,3,,Sheffield (GBR),2002-06-30,1134,2002,121.58
11221,2:01.58,,Claudia GESELL,18 DEC 1977,GER,6,,"CM, Madrid (ESP)",2002-09-20,1134,2002,121.58
11221,2:01.58,,Tatyana RODIONOVA-PASHNINA,27 AUG 1980,RUS,2h2,,"Arsenal Stadium, Tula (RUS)",2003-06-07,1134,2003,121.58
11221,2:01.58,,Esther DESVIAT,27 JAN 1982,ESP,3,,Sevilla (ESP),2003-06-07,1134,2003,121.58
11221,2:01.58,,Brigita LANGERHOLC,23 JUL 1976,SLO,6sf1,,"Stade de France, Paris-St-Denis (FRA)",2003-08-24,1134,2003,121.58
11221,2:01.58,,Mayte MARTÍNEZ,17 MAY 1976,ESP,4,,Leipzig (GER) (i),2004-02-14,1160,2004,121.58
11221,2:01.58,,Luciana de Paula MENDES,26 JUL 1971,BRA,3,,Rio de Janeiro (BRA),2004-05-16,1134,2004,121.58
11221,2:01.58,,Letitia VRIESDE,05 OCT 1964,SUR,3,,"Mangueirão, Belém (BRA)",2004-05-23,1134,2004,121.58
11221,2:01.58,,Anna ROSTKOWSKA,26 JUL 1980,POL,5,,"FBK Stadium, Hengelo (NED)",2004-05-31,1134,2004,121.58
11221,2:01.58,,Sasha SPENCER,04 AUG 1979,USA,4sf2,,"Sacramento, CA (USA)",2004-07-10,1134,2004,121.58
11221,2:01.58,,Agnes SAMARIA,11 AUG 1972,NAM,7,,"Boudewijnstadion, Bruxelles (BEL)",2005-08-26,1134,2005,121.58
11221,2:01.58,,Diane CUMMINS,19 JAN 1974,CAN,2sf2,,Melbourne (AUS),2006-03-23,1134,2006,121.58
11221,2:01.58,,Nicole TETER,08 NOV 1973,USA,7,,"Eugene, OR (USA)",2007-06-10,1134,2007,121.58
11221,2:01.58,,Lidia CHOJECKA,25 JAN 1977,POL,9,,Warszawa (POL),2007-06-17,1134,2007,121.58
11221,2:01.58,,Diane CUMMINS,19 JAN 1974,CAN,4f2,,"Stadio Guidobaldi, Rieti (ITA)",2007-09-09,1134,2007,121.58
11221,2:01.58,,Jemma SIMPSON,10 FEB 1984,GBR,2,,"Carson, CA (USA)",2009-05-16,1134,2009,121.58
11221,2:01.58,,Christin WURTH-THOMAS,11 JUL 1980,USA,2,,"Carson, CA (USA)",2009-05-16,1134,2009,121.58
11221,2:01.58,,Alysia MONTAÑO,23 APR 1986,USA,7,,"Eugene, OR (USA)",2009-06-28,1134,2009,121.58
11221,2:01.58,,Marian BURNETT,22 FEB 1976,GUY,3f1,,"Baton Rouge, LA (USA)",2010-04-17,1134,2010,121.58
11221,2:01.58,,Elena Mirela LAVRIC,17 FEB 1991,ROU,1f1,,Constanta (ROU),2010-06-04,1134,2010,121.58
11221,2:01.58,,Treniere MOSER,27 OCT 1981,USA,6,,"Sports Park Mladost, Zagreb (CRO)",2010-09-01,1134,2010,121.58
11221,2:01.58,,Phoebe WRIGHT,30 AUG 1988,USA,8f1,,Luzern (SUI),2011-07-21,1134,2011,121.58
11221,2:01.58,,Ewelina SĘTOWSKA-DRYK,05 MAR 1980,POL,2,,Bydgoszcz (POL),2012-06-03,1134,2012,121.58
11221,2:01.58,,Alena GLAZKOVA,06 MAY 1988,RUS,2f5,,Moskva (RUS) (i),2013-01-26,1160,2013,121.58
11221,2:01.58,,Maggie VESSEY,23 DEC 1981,USA,1f1,,"Palo Alto, CA (USA)",2015-04-04,1134,2015,121.58
11221,2:01.58,,Fiona BENSON,25 MAY 1992,CAN,1,,Victoria (CAN),2015-05-30,1134,2015,121.58
11221,2:01.58,,Joanna JÓŹWIK,30 JAN 1991,POL,1h7,,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-17,1134,2016,121.58
11221,2:01.58,,Chrishuna WILLIAMS,31 MAR 1993,USA,1f2,,"Nashville, TN (USA)",2017-06-10,1134,2017,121.58
11221,2:01.58,,Joanna JÓŹWIK,30 JAN 1991,POL,2,,Białystok (POL),2017-07-22,1134,2017,121.58
11221,2:01.58,,Lydia Jeruto LAGAT,23 NOV 2000,KEN,4,,Padova (ITA),2018-09-02,1134,2018,121.58
11221,2:01.58,,Adelle TRACEY,27 MAY 1993,GBR,4,,"Stadion Juliska, Praha (CZE)",2019-06-03,1134,2019,121.58
11221,2:01.58,,Selina BÜCHEL,26 JUL 1991,SUI,4,,"Stade Olympique de la Pontaise, Lausanne (SUI)",2019-07-05,1134,2019,121.58
11221,2:01.58,,Morgan MITCHELL,03 OCT 1994,AUS,4,,"Los Angeles, CA (USA)",2020-08-22,1134,2020,121.58
11221,2:01.58,,Catriona BISSET,01 MAR 1994,AUS,2,,"SOPAC, Sydney (AUS)",2021-03-13,1134,2021,121.58
11221,2:01.58,,Katie SNOWDEN,09 MAR 1994,GBR,2,,"Stadion Juliska, Praha (CZE)",2021-06-07,1134,2021,121.58
11221,2:01.58,,Jazmine FRAY,06 JUN 1997,JAM,3,,"Coatesville, PA (USA)",2021-06-11,1134,2021,121.58
11221,2:01.58,,Vivian Chebet KIPROTICH,07 JAN 1996,KEN,3f1,,"Nyayo National Stadium, Nairobi (KEN)",2022-03-05,1134,2022,121.58
11221,2:01.58,,Olivia BAKER,12 JUN 1996,USA,6f1,,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",2022-05-06,1134,2022,121.58
11221,2:01.58,,Olha LYAKHOVA,18 MAR 1992,UKR,1,,"Centro Sportivo Fontanassa, Savona (ITA)",2022-05-18,1134,2022,121.58
11221,2:01.58,,Vivian Chebet KIPROTICH,07 JAN 1996,KEN,3,,"Stade Naimette-Xhovémont, Liège (BEL)",2022-06-29,1134,2022,121.58
11221,2:01.58,,Agnès RAHAROLAHY,07 NOV 1992,FRA,1,,"Stade Raymond Petit, Tomblaine (FRA)",2022-07-02,1134,2022,121.58
11221,2:01.58,,Sahily DIAGO MESA,26 AUG 1995,CUB,2,,"Stade Raymond Petit, Tomblaine (FRA)",2022-07-02,1134,2022,121.58
11221,2:01.58,,Shafiqua MALONEY,27 FEB 1999,VIN,1,,"Marietta, GA (USA)",2022-07-02,1134,2022,121.58
11221,2:01.58,,Noélie YARIGO,26 DEC 1985,BEN,3h5,,"Hayward Field, Eugene, OR (USA)",2022-07-21,1134,2022,121.58
11221,2:01.58,,Bianka BARTHA-KÉRI,19 APR 1994,HUN,4,,"Bregyó Athletic Center, Székesfehérvár (HUN)",2022-08-08,1134,2022,121.58
11221,2:01.58,,KM. CHANDA,16 AUG 2001,IND,1,,Gujarat (IND),2022-10-04,1134,2022,121.58
11221,2:01.58,,KM. CHANDA,16 AUG 2001,IND,2,,"Supachalasai National Stadium, Bangkok (THA)",2023-07-16,1134,2023,121.58
11221,2:01.58,,Anna WIELGOSZ,09 NOV 1993,POL,3h4,,"Glasgow Arena, Glasgow (GBR) (i)",2024-03-01,1160,2024,121.58
11221,2:01.58,,Meghan HUNTER,31 MAY 2001,USA,6h3,,"Hayward Field, Eugene, OR (USA)",2024-06-21,1134,2024,121.58
11286,2:01.59,,Irén LIPCSEI,03 APR 1953,HUN,1,,Budapest (HUN),1978-07-23,1134,1978,121.59
11286,2:01.59,,Ravilya AGLETDINOVA,10 FEB 1960,URS,2h2,,"Olympic Stadium, Athina (GRE)",1982-09-06,1134,1982,121.59
11286,2:01.59,,Anne PURVIS,05 MAR 1959,GBR,3h2,,"Olympic Stadium, Athina (GRE)",1982-09-06,1134,1982,121.59
11286,2:01.59,,Valentina LASTOVKA,1958,URS,7f1,,Moskva (URS),1983-06-11,1134,1983,121.59
11286,2:01.59,,Jolanta JANUCHTA,16 JAN 1955,POL,1,,Bydgoszcz (POL),1983-06-27,1134,1983,121.59
11286,2:01.59,,Diana RICHBURG,02 JUL 1963,USA,1,,"Columbus, OH (USA)",1984-05-05,1134,1984,121.59
11286,2:01.59,,Inna YEVSEYEVA,14 AUG 1964,URS,1h1,,"Olympic Stadium, Jamsil, Seoul (KOR)",1988-09-24,1134,1988,121.59
11286,2:01.59,,Tudorita CHIDU,17 OCT 1967,ROU,5,,Berlin (GER),1989-07-05,1134,1989,121.59
11286,2:01.59,,Tuuli MERIKOSKI-SILIUS,22 NOV 1967,FIN,7,,Stockholm (SWE),1991-07-03,1134,1991,121.59
11286,2:01.59,,Gladys WAMUYU,23 DEC 1972,KEN,4h5,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",1993-08-14,1134,1993,121.59
11286,2:01.59,,Lyudmila ROGACHOVA,30 OCT 1966,RUS,1,,Moskva (RUS) (i),1995-02-14,1160,1995,121.59
11286,2:01.59,,Meredith RAINEY-VALMON,15 OCT 1968,USA,8,,"Crystal Palace, London (GBR)",1995-07-07,1134,1995,121.59
11286,2:01.59,,Heike MEISSNER,29 JAN 1970,GER,2,,Karlsruhe (GER) (i),1998-01-25,1160,1998,121.59
11286,2:01.59,,Malin EWERLÖF,02 JUN 1972,SWE,1,,Tampere (FIN) (i),1998-02-04,0,1998,121.59
11286,2:01.59,,Olena BUZHENKO-SERGEYEVA,16 NOV 1972,UKR,2,,Kyiv (UKR),1999-05-15,1134,1999,121.59
11286,2:01.59,,Tamsyn MANOU,20 JUL 1978,AUS,1,,Melbourne (AUS),1999-12-16,1134,1999,121.59
11286,2:01.59,,Nicole TETER,08 NOV 1973,USA,3,,"Palo Alto, CA (USA)",2000-07-01,1134,2000,121.59
11286,2:01.59,,Jennifer TOOMEY,19 DEC 1971,USA,2,,Cottbus (GER),2001-07-18,1134,2001,121.59
11286,2:01.59,,Lucia KLOCOVÁ,20 NOV 1983,SVK,5,,Ostrava (CZE),2002-06-12,1134,2002,121.59
11286,2:01.59,,Nadezhda VOROBYEVA,30 MAY 1977,RUS,5,,Gdansk (POL),2002-07-27,1134,2002,121.59
11286,2:01.59,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1sf2,,Manchester (GBR),2002-07-28,1134,2002,121.59
11286,2:01.59,,Svetlana CHERKASOVA,20 MAY 1978,RUS,4sf1,,"Olympiastadion, München (GER)",2002-08-07,1134,2002,121.59
11286,2:01.59,,Irina VASHENTSEVA,30 SEP 1980,RUS,1sf1,,Daegu (KOR),2003-08-29,1134,2003,121.59
11286,2:01.59,,Natalya LAVSHUK,22 FEB 1980,RUS,5,,Tula (RUS),2004-06-05,1134,2004,121.59
11286,2:01.59,,Konstantina EFENTAKI,01 OCT 1978,GRE,1,,Patra (GRE),2004-07-12,1134,2004,121.59
11286,2:01.59,,Hasna BENHASSI,01 JUN 1978,MAR,2sf3,,"Olympiastadion, Helsinki (FIN)",2005-08-07,1134,2005,121.59
11286,2:01.59,,Lisa CORRIGAN,02 DEC 1984,AUS,1,,Canberra (AUS),2007-01-27,1134,2007,121.59
11286,2:01.59,,Irina KRAKOVIAK,16 NOV 1977,LTU,3,,Kaunas (LTU),2008-06-08,1134,2008,121.59
11286,2:01.59,,Hazel CLARK,03 OCT 1977,USA,5h5,,"National Stadium, Beijing (CHN)",2008-08-15,1134,2008,121.59
11286,2:01.59,,Malika AKKAOUI,25 DEC 1987,MAR,3f1,,Rabat (MAR),2011-06-05,1134,2011,121.59
11286,2:01.59,,Jess JUDD,07 JAN 1995,GBR,1f1,,Watford (GBR),2013-06-12,1134,2013,121.59
11286,2:01.59,,Maggie VESSEY,23 DEC 1981,USA,3f1,,Burnaby (CAN),2013-07-01,1134,2013,121.59
11286,2:01.59,,Natalija PILIUŠINA,22 OCT 1990,LTU,5sf1,,"Central Stadium, Kazan (RUS)",2013-07-08,1134,2013,121.59
11286,2:01.59,,Laura ROESLER,19 DEC 1991,USA,1,,Linz (AUT),2014-07-14,1134,2014,121.59
11286,2:01.59,,Vanya STAMBOLOVA,28 NOV 1983,BUL,5sf1,,"Letzigrund, Zürich (SUI)",2014-08-14,1134,2014,121.59
11286,2:01.59,,Simoya CAMPBELL-JOHNSON,01 MAR 1994,JAM,3,,Ponce (PUR),2015-05-23,1134,2015,121.59
11286,2:01.59,,Shume Chaltu REGASA,13 DEC 1996,ETH,3,,Brazzaville (CGO),2015-09-14,1134,2015,121.59
11286,2:01.59,,Aníta HINRIKSDÓTTIR,13 JAN 1996,ISL,1,,Växjö (SWE) (i),2016-02-13,1160,2016,121.59
11286,2:01.59,,Anastasiya RYEMYEN,20 APR 1993,UKR,8,,Bellinzona (SUI),2016-06-06,1134,2016,121.59
11286,2:01.59,,Lauren JOHNSON,04 MAY 1987,USA,1f2,,"Portland, OR (USA)",2016-06-12,1134,2016,121.59
11286,2:01.59,,Natoya GOULE,30 MAR 1991,JAM,8,,"Suhaim bin Hamad Stadium, Doha (QAT)",2017-05-05,1134,2017,121.59
11286,2:01.59,,Simoya CAMPBELL-JOHNSON,01 MAR 1994,JAM,3,,London (GBR),2018-07-15,1134,2018,121.59
11286,2:01.59,,Sabrina SOUTHERLAND,18 DEC 1995,USA,3,,"Nashville, TN (USA)",2021-06-06,1134,2021,121.59
11286,2:01.59,,Keely HODGKINSON,03 MAR 2002,GBR,2h4,,"National Stadium, Tokyo (JPN)",2021-07-30,1134,2021,121.59
11286,2:01.59,,Soukaina HAJJI,04 FEB 1997,MAR,7,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",2022-06-05,1134,2022,121.59
11286,2:01.59,,Ekaterina GULIYEV,01 MAR 1991,TUR,3h1,,"Olympiastadion, München (GER)",2022-08-18,1134,2022,121.59
11286,2:01.59,,Sara KUIVISTO,17 AUG 1991,FIN,6sf2,,"Olympiastadion, München (GER)",2022-08-19,1134,2022,121.59
11286,2:01.59,,Kristie SCHOFFIELD,05 APR 1999,USA,4f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",2023-02-10,1160,2023,121.59
11286,2:01.59,,Eveliina MÄÄTTÄNEN,01 SEP 1995,FIN,2h3,,"Stadio Olimpico, Roma (ITA)",2024-06-10,1134,2024,121.59
11286,2:01.59,,Sahily DIAGO MESA,26 AUG 1995,CUB,4f1,,"Centre sportif Bout-du-Monde, Genève (SUI)",2024-06-22,1134,2024,121.59
11286,2:01.59,,Rénelle LAMOTE,26 DEC 1993,FRA,4,,"Stade Josette et Roger Mikulak, Angers (FRA)",2024-06-29,1134,2024,121.59
11337,2:01.60,,Elfi ZINN,24 AUG 1953,GDR,4,,Dresden (GER),1976-05-08,1134,1976,121.6
11337,2:01.60,,Mariana SUMAN,29 JUL 1951,ROU,1,,Ankara (TUR),1977-09-09,1134,1977,121.6
11337,2:01.60,,Jane FINCH,08 NOV 1957,GBR,2,,London (GBR),1978-09-15,1134,1978,121.6
11337,2:01.60,,Svetlana POPOVA,03 FEB 1959,URS,4,,Moskva (URS) (i),1983-02-19,1159,1983,121.6
11337,2:01.60,,Jane FINCH,08 NOV 1957,GBR,3,,Oslo (NOR),1983-08-23,1134,1983,121.6
11337,2:01.60,,Soraya Vieira TELLES,06 SEP 1958,BRA,2,,São Paulo (BRA),1988-05-22,1134,1988,121.6
11337,2:01.60,,Marina YACHMENEVA,14 JUL 1961,URS,1,,Leningrad (URS),1988-08-13,1134,1988,121.6
11337,2:01.60,,Joetta CLARK,01 AUG 1962,USA,2,,"Estadio Panamericano, La Habana (CUB)",1992-09-26,1134,1992,121.6
11337,2:01.60,,Olga NELYUBOVA,12 JUL 1964,RUS,3,,Moskva (RUS),1996-07-13,1134,1996,121.6
11337,2:01.60,,Nancy Jebet LANGAT,22 AUG 1981,KEN,1,,Nairobi (KEN),1997-08-09,1134,1997,121.6
11337,2:01.60,,Letitia VRIESDE,05 OCT 1964,SUR,3,,Stuttgart (GER) (i),1998-02-01,1159,1998,121.6
11337,2:01.60,,Yuliya KOSENKOVA,28 MAR 1973,RUS,5,,"Stadio Olimpico, Roma (ITA)",1998-07-14,1134,1998,121.6
11337,2:01.60,,Maria Pilar BARREIRO,11 JAN 1971,ESP,5h3,,"Népstadion, Budapest (HUN)",1998-08-18,1134,1998,121.6
